id,Month,Year,Season,Quarter,Is_Holiday,Occupancy
630,June,2073,Winter,Q2,false,9449.0
631,July,2073,Winter,Q3,false,3662.1
632,August,2073,Winter,Q3,false,7643.2
633,September,2073,Spring,Q3,false,6604.6
634,October,2073,Spring,Q4,false,2296.3
635,November,2073,Spring,Q4,false,7602.9
636,December,2073,Summer,Q4,true,1746.5
637,January,2074,Summer,Q1,true,6888.2
638,February,2074,Summer,Q1,false,8491.8
639,March,2074,Autumn,Q1,false,2956.9
640,April,2074,Autumn,Q2,false,2136.3
641,May,2074,Autumn,Q2,false,9576.2
642,June,2074,Winter,Q2,false,6215.0
643,July,2074,Winter,Q3,false,5979.3
644,August,2074,Winter,Q3,false,5139.8
645,September,2074,Spring,Q3,false,9395.7
646,October,2074,Spring,Q4,false,2560.9
647,November,2074,Spring,Q4,false,3844.6
648,December,2074,Summer,Q4,true,1175.9
649,January,2075,Summer,Q1,true,5400.0
650,February,2075,Summer,Q1,false,1215.6
651,March,2075,Autumn,Q1,false,8601.8
652,April,2075,Autumn,Q2,false,482.9
653,May,2075,Autumn,Q2,false,1098.4
654,June,2075,Winter,Q2,false,6613.5
655,July,2075,Winter,Q3,false,1223.4
656,August,2075,Winter,Q3,false,6749.2
657,September,2075,Spring,Q3,false,8682.3
658,October,2075,Spring,Q4,false,3178.9
659,November,2075,Spring,Q4,false,9666.6
660,December,2075,Summer,Q4,true,500.4
661,January,2076,Summer,Q1,true,7048.0
662,February,2076,Summer,Q1,false,4884.8
663,March,2076,Autumn,Q1,false,4487.2
664,April,2076,Autumn,Q2,false,9284.2
665,May,2076,Autumn,Q2,false,8412.0
666,June,2076,Winter,Q2,false,9521.1
667,July,2076,Winter,Q3,false,6710.0
668,August,2076,Winter,Q3,false,8773.6
669,September,2076,Spring,Q3,false,7030.0
670,October,2076,Spring,Q4,false,7697.2
671,November,2076,Spring,Q4,false,5549.0
672,December,2076,Summer,Q4,true,5272.9
673,January,2077,Summer,Q1,true,1373.4
674,February,2077,Summer,Q1,false,851.2
675,March,2077,Autumn,Q1,false,1949.5
676,April,2077,Autumn,Q2,false,867.6
677,May,2077,Autumn,Q2,false,5248.6
678,June,2077,Winter,Q2,false,9980.5
679,July,2077,Winter,Q3,false,5003.6
680,August,2077,Winter,Q3,false,3675.6
681,September,2077,Spring,Q3,false,9196.4
682,October,2077,Spring,Q4,false,540.1
683,November,2077,Spring,Q4,false,5809.9
684,December,2077,Summer,Q4,true,7413.2
685,January,2078,Summer,Q1,true,8388.7
686,February,2078,Summer,Q1,false,6924.7
687,March,2078,Autumn,Q1,false,6789.2
688,April,2078,Autumn,Q2,false,8547.4
689,May,2078,Autumn,Q2,false,1047.3
690,June,2078,Winter,Q2,false,5457.6
691,July,2078,Winter,Q3,false,5962.0
692,August,2078,Winter,Q3,false,9565.5
693,September,2078,Spring,Q3,false,6552.3
694,October,2078,Spring,Q4,false,7964.7
695,November,2078,Spring,Q4,false,2117.6
696,December,2078,Summer,Q4,true,9211.0
697,January,2079,Summer,Q1,true,6358.5
698,February,2079,Summer,Q1,false,9328.5
699,March,2079,Autumn,Q1,false,5655.9
700,April,2079,Autumn,Q2,false,689.5
701,May,2079,Autumn,Q2,false,3537.3
702,June,2079,Winter,Q2,false,3851.8
703,July,2079,Winter,Q3,false,3699.1
704,August,2079,Winter,Q3,false,6813.8
705,September,2079,Spring,Q3,false,2814.7
706,October,2079,Spring,Q4,false,9782.6
707,November,2079,Spring,Q4,false,7331.4
708,December,2079,Summer,Q4,true,7057.4
709,January,2080,Summer,Q1,true,7016.5
710,February,2080,Summer,Q1,false,3557.0
711,March,2080,Autumn,Q1,false,2122.5
712,April,2080,Autumn,Q2,false,8221.7
713,May,2080,Autumn,Q2,false,4107.3
714,June,2080,Winter,Q2,false,1311.9
715,July,2080,Winter,Q3,false,3686.3
716,August,2080,Winter,Q3,false,5942.3
717,September,2080,Spring,Q3,false,1889.7
718,October,2080,Spring,Q4,false,4727.2
719,November,2080,Spring,Q4,false,5556.2
720,December,2080,Summer,Q4,true,5196.4
721,January,2081,Summer,Q1,true,6772.6
722,February,2081,Summer,Q1,false,8469.8
723,March,2081,Autumn,Q1,false,1648.2
724,April,2081,Autumn,Q2,false,235.5
725,May,2081,Autumn,Q2,false,6752.5
726,June,2081,Winter,Q2,false,7112.7
727,July,2081,Winter,Q3,false,6475.6
728,August,2081,Winter,Q3,false,6862.5
729,September,2081,Spring,Q3,false,8682.6
730,October,2081,Spring,Q4,false,7384.8
731,November,2081,Spring,Q4,false,3441.6
732,December,2081,Summer,Q4,true,6051.2
733,January,2082,Summer,Q1,true,1892.4
734,February,2082,Summer,Q1,false,6932.8
735,March,2082,Autumn,Q1,false,3928.2
736,April,2082,Autumn,Q2,false,1708.0
737,May,2082,Autumn,Q2,false,3837.6
738,June,2082,Winter,Q2,false,1390.9
739,July,2082,Winter,Q3,false,7599.9
740,August,2082,Winter,Q3,false,7521.3
741,September,2082,Spring,Q3,false,8441.7
742,October,2082,Spring,Q4,false,5989.5
743,November,2082,Spring,Q4,false,2911.4
744,December,2082,Summer,Q4,true,4925.5
745,January,2083,Summer,Q1,true,7027.2
746,February,2083,Summer,Q1,false,2237.0
747,March,2083,Autumn,Q1,false,6238.5
748,April,2083,Autumn,Q2,false,1842.1
749,May,2083,Autumn,Q2,false,5211.3
750,June,2083,Winter,Q2,false,2214.1
751,July,2083,Winter,Q3,false,817.7
752,August,2083,Winter,Q3,false,5304.9
753,September,2083,Spring,Q3,false,4262.4
754,October,2083,Spring,Q4,false,6765.1
755,November,2083,Spring,Q4,false,9280.3
756,December,2083,Summer,Q4,true,8210.7
757,January,2084,Summer,Q1,true,6614.6
758,February,2084,Summer,Q1,false,4874.4
759,March,2084,Autumn,Q1,false,4044.6
760,April,2084,Autumn,Q2,false,6252.8
761,May,2084,Autumn,Q2,false,8626.9
762,June,2084,Winter,Q2,false,9750.5
763,July,2084,Winter,Q3,false,1142.1
764,August,2084,Winter,Q3,false,171.4
765,September,2084,Spring,Q3,false,616.6
766,October,2084,Spring,Q4,false,6266.5
767,November,2084,Spring,Q4,false,9764.2
768,December,2084,Summer,Q4,true,2031.1
769,January,2085,Summer,Q1,true,8389.1
770,February,2085,Summer,Q1,false,321.2
771,March,2085,Autumn,Q1,false,2929.0
772,April,2085,Autumn,Q2,false,6339.0
773,May,2085,Autumn,Q2,false,7251.3
774,June,2085,Winter,Q2,false,4794.0
775,July,2085,Winter,Q3,false,2004.5
776,August,2085,Winter,Q3,false,6067.8
777,September,2085,Spring,Q3,false,6438.6
778,October,2085,Spring,Q4,false,2039.6
779,November,2085,Spring,Q4,false,5766.4
780,December,2085,Summer,Q4,true,3470.5
781,January,2086,Summer,Q1,true,2387.1
782,February,2086,Summer,Q1,false,3139.0
783,March,2086,Autumn,Q1,false,7163.3
784,April,2086,Autumn,Q2,false,2483.3
785,May,2086,Autumn,Q2,false,566.7
786,June,2086,Winter,Q2,false,180.1
787,July,2086,Winter,Q3,false,6715.7
788,August,2086,Winter,Q3,false,8080.1
789,September,2086,Spring,Q3,false,6367.0
790,October,2086,Spring,Q4,false,1442.9
791,November,2086,Spring,Q4,false,1053.0
792,December,2086,Summer,Q4,true,505.9
793,January,2087,Summer,Q1,true,3963.3
794,February,2087,Summer,Q1,false,2865.7
795,March,2087,Autumn,Q1,false,749.1
796,April,2087,Autumn,Q2,false,2099.1
797,May,2087,Autumn,Q2,false,1693.5
798,June,2087,Winter,Q2,false,5782.4
799,July,2087,Winter,Q3,false,4149.9
800,August,2087,Winter,Q3,false,1236.5
801,September,2087,Spring,Q3,false,7685.4
802,October,2087,Spring,Q4,false,4933.7
803,November,2087,Spring,Q4,false,283.5
804,December,2087,Summer,Q4,true,5415.1
805,January,2088,Summer,Q1,true,8581.4
806,February,2088,Summer,Q1,false,5395.4
807,March,2088,Autumn,Q1,false,3104.8
808,April,2088,Autumn,Q2,false,5967.0
809,May,2088,Autumn,Q2,false,1010.3
810,June,2088,Winter,Q2,false,1485.6
811,July,2088,Winter,Q3,false,9418.2
812,August,2088,Winter,Q3,false,300.5
813,September,2088,Spring,Q3,false,2089.5
814,October,2088,Spring,Q4,false,560.1
815,November,2088,Spring,Q4,false,6313.4
816,December,2088,Summer,Q4,true,152.4
817,January,2089,Summer,Q1,true,9817.9
818,February,2089,Summer,Q1,false,357.0
819,March,2089,Autumn,Q1,false,7132.4
820,April,2089,Autumn,Q2,false,9061.8
821,May,2089,Autumn,Q2,false,5040.6
822,June,2089,Winter,Q2,false,1628.4
823,July,2089,Winter,Q3,false,8541.3
824,August,2089,Winter,Q3,false,9984.2
825,September,2089,Spring,Q3,false,4997.1
826,October,2089,Spring,Q4,false,6259.9
827,November,2089,Spring,Q4,false,2982.5
828,December,2089,Summer,Q4,true,5783.6
829,January,2090,Summer,Q1,true,4919.9
830,February,2090,Summer,Q1,false,6697.8
831,March,2090,Autumn,Q1,false,7243.4
832,April,2090,Autumn,Q2,false,5171.9
833,May,2090,Autumn,Q2,false,3730.8
834,June,2090,Winter,Q2,false,589.9
835,July,2090,Winter,Q3,false,3547.1
836,August,2090,Winter,Q3,false,9434.4
837,September,2090,Spring,Q3,false,976.9
838,October,2090,Spring,Q4,false,4107.8
839,November,2090,Spring,Q4,false,8743.3
840,December,2090,Summer,Q4,true,3798.1
841,January,2091,Summer,Q1,true,4363.7
842,February,2091,Summer,Q1,false,6184.1
843,March,2091,Autumn,Q1,false,9078.9
844,April,2091,Autumn,Q2,false,6473.1
845,May,2091,Autumn,Q2,false,7257.0
846,June,2091,Winter,Q2,false,339.7
847,July,2091,Winter,Q3,false,1988.6
848,August,2091,Winter,Q3,false,2560.8
849,September,2091,Spring,Q3,false,2487.0
850,October,2091,Spring,Q4,false,5019.7
851,November,2091,Spring,Q4,false,1129.9
852,December,2091,Summer,Q4,true,9917.1
853,January,2092,Summer,Q1,true,7304.2
854,February,2092,Summer,Q1,false,8819.8
855,March,2092,Autumn,Q1,false,1929.7
856,April,2092,Autumn,Q2,false,4115.7
857,May,2092,Autumn,Q2,false,7787.7
858,June,2092,Winter,Q2,false,7410.8
859,July,2092,Winter,Q3,false,5619.3
860,August,2092,Winter,Q3,false,9624.1
861,September,2092,Spring,Q3,false,3313.5
862,October,2092,Spring,Q4,false,6974.3
863,November,2092,Spring,Q4,false,1671.8
864,December,2092,Summer,Q4,true,2812.9
865,January,2093,Summer,Q1,true,5756.4
866,February,2093,Summer,Q1,false,1157.8
867,March,2093,Autumn,Q1,false,4437.6
868,April,2093,Autumn,Q2,false,8158.9
869,May,2093,Autumn,Q2,false,3189.0
870,June,2093,Winter,Q2,false,1594.2
871,July,2093,Winter,Q3,false,2605.7
872,August,2093,Winter,Q3,false,6393.9
873,September,2093,Spring,Q3,false,8974.7
874,October,2093,Spring,Q4,false,490.2
875,November,2093,Spring,Q4,false,7415.0
876,December,2093,Summer,Q4,true,944.1
877,January,2094,Summer,Q1,true,2818.5
878,February,2094,Summer,Q1,false,1509.7
879,March,2094,Autumn,Q1,false,1637.9
880,April,2094,Autumn,Q2,false,6341.4
881,May,2094,Autumn,Q2,false,8318.8
882,June,2094,Winter,Q2,false,9788.8
883,July,2094,Winter,Q3,false,8128.5
884,August,2094,Winter,Q3,false,3329.2
885,September,2094,Spring,Q3,false,3956.5
886,October,2094,Spring,Q4,false,4218.7
887,November,2094,Spring,Q4,false,8943.6
888,December,2094,Summer,Q4,true,3152.1
889,January,2095,Summer,Q1,true,4594.3
890,February,2095,Summer,Q1,false,720.0
891,March,2095,Autumn,Q1,false,6756.5
892,April,2095,Autumn,Q2,false,3087.6
893,May,2095,Autumn,Q2,false,8369.6
894,June,2095,Winter,Q2,false,5383.2
895,July,2095,Winter,Q3,false,9927.8
896,August,2095,Winter,Q3,false,9213.7
897,September,2095,Spring,Q3,false,167.6
898,October,2095,Spring,Q4,false,4113.3
899,November,2095,Spring,Q4,false,798.8
900,December,2095,Summer,Q4,true,4228.4
901,January,2096,Summer,Q1,true,8628.9
902,February,2096,Summer,Q1,false,5473.3
903,March,2096,Autumn,Q1,false,6575.2
904,April,2096,Autumn,Q2,false,1747.9
905,May,2096,Autumn,Q2,false,9416.2
906,June,2096,Winter,Q2,false,6707.8
907,July,2096,Winter,Q3,false,416.5
908,August,2096,Winter,Q3,false,8920.7
909,September,2096,Spring,Q3,false,8123.7
910,October,2096,Spring,Q4,false,7801.8
911,November,2096,Spring,Q4,false,2027.4
912,December,2096,Summer,Q4,true,5011.5
913,January,2097,Summer,Q1,true,8142.8
914,February,2097,Summer,Q1,false,7535.3
915,March,2097,Autumn,Q1,false,5991.5
916,April,2097,Autumn,Q2,false,5379.8
917,May,2097,Autumn,Q2,false,2375.7
918,June,2097,Winter,Q2,false,3848.0
919,July,2097,Winter,Q3,false,493.4
920,August,2097,Winter,Q3,false,7482.1
921,September,2097,Spring,Q3,false,8622.8
922,October,2097,Spring,Q4,false,6089.6
923,November,2097,Spring,Q4,false,4057.6
924,December,2097,Summer,Q4,true,3494.6
925,January,2098,Summer,Q1,true,6094.6
926,February,2098,Summer,Q1,false,997.7
927,March,2098,Autumn,Q1,false,3761.7
928,April,2098,Autumn,Q2,false,668.4
929,May,2098,Autumn,Q2,false,1055.9
930,June,2098,Winter,Q2,false,582.2
931,July,2098,Winter,Q3,false,9546.6
932,August,2098,Winter,Q3,false,8477.4
933,September,2098,Spring,Q3,false,2619.9
934,October,2098,Spring,Q4,false,4465.9
935,November,2098,Spring,Q4,false,5882.7
936,December,2098,Summer,Q4,true,2021.0
937,January,2099,Summer,Q1,true,9384.3
938,February,2099,Summer,Q1,false,8215.9
939,March,2099,Autumn,Q1,false,5206.6
940,April,2099,Autumn,Q2,false,6862.9
941,May,2099,Autumn,Q2,false,3348.0
942,June,2099,Winter,Q2,false,1515.7
943,July,2099,Winter,Q3,false,876.5
944,August,2099,Winter,Q3,false,554.6
945,September,2099,Spring,Q3,false,4085.1
946,October,2099,Spring,Q4,false,2857.3
947,November,2099,Spring,Q4,false,5128.2
948,December,2099,Summer,Q4,true,2848.8
949,January,2100,Summer,Q1,true,493.1
950,February,2100,Summer,Q1,false,1874.8
951,March,2100,Autumn,Q1,false,4470.5
952,April,2100,Autumn,Q2,false,1902.5
953,May,2100,Autumn,Q2,false,407.4
954,June,2100,Winter,Q2,false,9317.7
955,July,2100,Winter,Q3,false,216.2
956,August,2100,Winter,Q3,false,9448.9
957,September,2100,Spring,Q3,false,4152.6
958,October,2100,Spring,Q4,false,2159.7
959,November,2100,Spring,Q4,false,7038.2
960,December,2100,Summer,Q4,true,7096.8
961,January,2101,Summer,Q1,true,4182.4
962,February,2101,Summer,Q1,false,9335.0
963,March,2101,Autumn,Q1,false,2536.4
964,April,2101,Autumn,Q2,false,5312.2
965,May,2101,Autumn,Q2,false,6397.7
966,June,2101,Winter,Q2,false,8845.2
967,July,2101,Winter,Q3,false,449.3
968,August,2101,Winter,Q3,false,2538.7
969,September,2101,Spring,Q3,false,4125.5
970,October,2101,Spring,Q4,false,8074.8
971,November,2101,Spring,Q4,false,6074.3
972,December,2101,Summer,Q4,true,7457.5
973,January,2102,Summer,Q1,true,2735.0
974,February,2102,Summer,Q1,false,9050.6
975,March,2102,Autumn,Q1,false,5072.7
976,April,2102,Autumn,Q2,false,2952.7
977,May,2102,Autumn,Q2,false,2313.7
978,June,2102,Winter,Q2,false,6266.1
979,July,2102,Winter,Q3,false,7295.4
980,August,2102,Winter,Q3,false,6729.9
981,September,2102,Spring,Q3,false,7750.1
982,October,2102,Spring,Q4,false,8280.4
983,November,2102,Spring,Q4,false,6099.2
984,December,2102,Summer,Q4,true,8215.5
985,January,2103,Summer,Q1,true,6222.2
986,February,2103,Summer,Q1,false,2546.3
987,March,2103,Autumn,Q1,false,6420.1
988,April,2103,Autumn,Q2,false,7233.4
989,May,2103,Autumn,Q2,false,3197.4
990,June,2103,Winter,Q2,false,8977.8
991,July,2103,Winter,Q3,false,2859.7
992,August,2103,Winter,Q3,false,8810.3
993,September,2103,Spring,Q3,false,8254.8
994,October,2103,Spring,Q4,false,6187.1
995,November,2103,Spring,Q4,false,9596.1
996,December,2103,Summer,Q4,true,7446.3
997,January,2104,Summer,Q1,true,2753.9
998,February,2104,Summer,Q1,false,7874.5
999,March,2104,Autumn,Q1,false,858.8
1000,April,2104,Autumn,Q2,false,8423.8
